onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id
-0.5,0.5,-0.5,0.5,0,8,59,1,n1
0.0,0.5,0.0,0.5,8,8,64,1,n2
0.0,0.25,0.0,0.25,8,4,56,1,n3
0.0,1.0,0.0,1.0,8,16,40,1,n4
0.25,0.25,0.25,0.25,12,4,59,1,n5
0.25,0.5,0.25,0.5,12,8,47,1,n6
0.5,0.25,0.5,0.25,16,4,63,1,n7
0.5,0.25,0.5,0.25,16,4,56,1,n8
0.75,0.25,0.75,0.25,20,4,64,1,n9
0.75,0.25,0.75,0.25,20,4,59,1,n10
0.75,0.25,0.75,0.25,20,4,47,1,n11
1.0,1.25,1.0,1.25,24,20,66,1,n12
1.0,1.5,1.0,1.5,24,24,63,1,n13
1.0,0.25,1.0,0.25,24,4,57,1,n14
1.0,1.0,1.0,1.0,24,16,35,1,n15
1.25,0.25,1.25,0.25,28,4,59,1,n16
1.25,0.5,1.25,0.5,28,8,47,1,n17
1.5,0.25,1.5,0.25,32,4,57,1,n18
1.75,0.25,1.75,0.25,36,4,59,1,n19
1.75,0.25,1.75,0.25,36,4,47,1,n20
2.0,0.25,2.0,0.25,40,4,57,1,n21
2.0,1.0,2.0,1.0,40,16,35,1,n22
2.25,0.25,2.25,0.25,44,4,68,1,n23
2.25,0.25,2.25,0.25,44,4,59,1,n24
2.25,0.5,2.25,0.5,44,8,47,1,n25
2.5,0.25,2.5,0.25,48,4,68,1,n26
2.5,0.5,2.5,0.5,48,8,63,1,n27
2.5,0.25,2.5,0.25,48,4,57,1,n28
2.75,0.25,2.75,0.25,52,4,66,1,n29
2.75,0.25,2.75,0.25,52,4,59,1,n30
2.75,0.25,2.75,0.25,52,4,47,1,n31
3.0,1.25,3.0,1.25,56,20,68,1,n32
3.0,1.0,3.0,1.0,56,16,64,1,n33
3.0,0.25,3.0,0.25,56,4,56,1,n34
3.0,1.0,3.0,1.0,56,16,40,1,n35
3.25,0.25,3.25,0.25,60,4,59,1,n36
3.25,0.5,3.25,0.5,60,8,47,1,n37
3.5,0.25,3.5,0.25,64,4,56,1,n38
3.75,0.25,3.75,0.25,68,4,59,1,n39
3.75,0.25,3.75,0.25,68,4,47,1,n40
4.0,0.25,4.0,0.25,72,4,56,1,n41
4.0,1.0,4.0,1.0,72,16,40,1,n42
4.25,0.25,4.25,0.25,76,4,69,1,n43
4.25,0.25,4.25,0.25,76,4,64,1,n44
4.25,0.5,4.25,0.5,76,8,47,1,n45
4.5,0.25,4.5,0.25,80,4,69,1,n46
4.5,0.25,4.5,0.25,80,4,59,1,n47
4.75,0.25,4.75,0.25,84,4,68,1,n48
4.75,0.25,4.75,0.25,84,4,64,1,n49
4.75,0.25,4.75,0.25,84,4,47,1,n50
5.0,0.75,5.0,0.75,88,12,73,1,n51
5.0,0.25,5.0,0.25,88,4,63,1,n52
5.0,1.0,5.0,1.0,88,16,35,1,n53
5.25,0.25,5.25,0.25,92,4,69,1,n54
5.25,0.5,5.25,0.5,92,8,47,1,n55
5.5,0.25,5.5,0.25,96,4,59,1,n56
5.75,0.25,5.75,0.25,100,4,71,1,n57
5.75,0.25,5.75,0.25,100,4,63,1,n58
5.75,0.25,5.75,0.25,100,4,47,1,n59
6.0,0.25,6.0,0.25,104,4,69,1,n60
6.0,0.25,6.0,0.25,104,4,59,1,n61
6.0,1.0,6.0,1.0,104,16,40,1,n62
6.25,0.25,6.25,0.25,108,4,68,1,n63
6.25,0.25,6.25,0.25,108,4,64,1,n64
6.25,0.5,6.25,0.5,108,8,47,1,n65
6.5,0.25,6.5,0.25,112,4,63,1,n66
6.5,0.25,6.5,0.25,112,4,56,1,n67
6.75,0.25,6.75,0.25,116,4,64,1,n68
6.75,0.25,6.75,0.25,116,4,59,1,n69
6.75,0.25,6.75,0.25,116,4,47,1,n70
7.0,1.25,7.0,1.25,120,20,66,1,n71
7.0,0.25,7.0,0.25,120,4,61,1,n72
7.0,0.25,7.0,0.25,120,4,57,1,n73
7.0,1.0,7.0,1.0,120,16,35,1,n74
7.25,0.25,7.25,0.25,124,4,63,1,n75
7.25,0.25,7.25,0.25,124,4,59,1,n76
7.25,0.5,7.25,0.5,124,8,47,1,n77
7.5,0.25,7.5,0.25,128,4,61,1,n78
7.5,0.25,7.5,0.25,128,4,57,1,n79
7.75,0.25,7.75,0.25,132,4,63,1,n80
7.75,0.25,7.75,0.25,132,4,59,1,n81
7.75,0.25,7.75,0.25,132,4,47,1,n82
8.0,0.25,8.0,0.25,136,4,61,1,n83
8.0,0.25,8.0,0.25,136,4,57,1,n84
8.0,1.0,8.0,1.0,136,16,35,1,n85
8.25,0.25,8.25,0.25,140,4,68,1,n86
8.25,0.25,8.25,0.25,140,4,63,1,n87
8.25,0.25,8.25,0.25,140,4,59,1,n88
8.25,0.5,8.25,0.5,140,8,47,1,n89
8.5,0.25,8.5,0.25,144,4,68,1,n90
8.5,0.25,8.5,0.25,144,4,61,1,n91
8.5,0.25,8.5,0.25,144,4,57,1,n92
8.75,0.25,8.75,0.25,148,4,66,1,n93
8.75,0.25,8.75,0.25,148,4,63,1,n94
8.75,0.25,8.75,0.25,148,4,59,1,n95
8.75,0.25,8.75,0.25,148,4,47,1,n96
9.0,1.0,9.0,1.0,152,16,64,1,n97
9.0,0.25,9.0,0.25,152,4,56,1,n98
9.0,1.0,9.0,1.0,152,16,40,1,n99
9.25,0.25,9.25,0.25,156,4,59,1,n100
9.25,0.5,9.25,0.5,156,8,47,1,n101
9.5,0.25,9.5,0.25,160,4,56,1,n102
9.75,0.25,9.75,0.25,164,4,59,1,n103
9.75,0.25,9.75,0.25,164,4,47,1,n104
